sample_idx,bs_precision,bs_recall,bs_f1
57,0.5116,0.5226,0.5190
58,0.8147,0.7543,0.7849
59,0.6857,0.2057,0.4101
60,0.5211,0.1432,0.3095
61,0.8187,0.3100,0.5267
62,0.7694,0.4728,0.6097
63,0.4920,0.2930,0.3882
64,0.1097,0.4697,0.2688
65,0.8900,0.9141,0.9023
66,0.7401,0.4111,0.5610
67,0.2770,0.2789,0.2809
68,0.7369,0.5985,0.6663
69,0.4189,0.6568,0.5310
70,0.2228,-0.0256,0.0891
71,0.2431,0.2461,0.2476
72,0.1453,0.2808,0.2126
73,0.2319,0.4569,0.3381
74,0.7317,0.4294,0.5685
75,0.2423,0.4227,0.3294
76,0.1396,0.3168,0.2253
77,0.7339,0.4098,0.5576
78,0.3411,0.6224,0.4711
79,-0.0937,0.1144,0.0043
80,0.2580,0.5778,0.4031
81,0.7778,0.4562,0.6033
82,0.1042,0.4101,0.2425
83,0.5386,0.3029,0.4139
84,0.1851,0.5569,0.3496
85,0.4487,0.5186,0.4849
86,0.2987,0.5609,0.4207
87,0.4686,0.5576,0.5138
88,0.5035,-0.2204,0.0374
89,0.4494,0.6179,0.5311
90,0.6913,0.5050,0.5946
91,0.5326,0.5431,0.5397
92,0.6461,0.5979,0.6232
93,0.7382,0.6597,0.6993
94,0.3323,0.1300,0.2265
95,0.5432,0.1777,0.3398
96,0.6407,0.2369,0.4142
97,0.7669,0.5112,0.6310
98,0.0469,0.3979,0.2018
99,0.4026,0.4327,0.4198
100,0.8271,0.8380,0.8332
101,0.8873,0.4425,0.6379
102,0.3198,0.2313,0.2770
103,0.5824,0.2614,0.4071
104,0.6937,0.0063,0.2698
105,0.4786,0.5251,0.5035
106,0.0568,0.4099,0.2126
107,0.5972,0.4240,0.5078
108,0.8874,0.9310,0.9093
109,0.5186,0.5299,0.5261
110,0.4230,0.3382,0.3819
111,0.4684,-0.0540,0.1573
112,0.6698,0.1764,0.3849
113,0.8436,0.9250,0.8839
114,0.5034,0.0739,0.2578
115,0.5401,0.5083,0.5259
116,0.7534,0.4810,0.6078
117,-0.0940,0.3565,0.0926
118,0.8407,0.0398,0.3368
119,0.2646,0.5001,0.3753
120,0.6408,0.3708,0.4963
121,0.4044,0.2149,0.3060
122,0.2145,0.3728,0.2919
123,0.7608,0.1965,0.4296
124,-0.0266,0.1244,0.0476
125,0.5856,0.5209,0.5544
126,0.7292,0.8794,0.8021
127,0.4628,0.8203,0.6244
128,0.4163,0.2873,0.3515
129,-0.0695,0.5102,0.1585
130,0.2545,0.5858,0.4041
131,0.3786,0.3509,0.3672
132,0.6921,0.7098,0.7021
133,0.6734,0.8589,0.7624
134,0.1540,0.1606,0.1607
135,0.2584,0.3825,0.3204
136,0.5862,0.4637,0.5245
137,0.6344,0.8086,0.7184
138,0.5229,0.6057,0.5650
139,0.6291,0.6157,0.6239
140,0.2626,0.0052,0.1238
141,0.8733,0.2748,0.5216
142,0.7065,0.2638,0.4559
143,0.3068,0.4881,0.3943
144,0.4313,0.5998,0.5130
145,0.1771,0.2449,0.2133
146,0.7338,0.6409,0.6874
147,0.2323,0.0604,0.1438
148,0.5460,0.6270,0.5872
149,0.3363,0.6081,0.4624
150,0.2535,0.2410,0.2502
151,0.3522,0.5059,0.4274
152,0.4851,-0.5353,-0.2688
153,0.2567,0.5942,0.4088
154,0.4111,-0.0227,0.1605
155,0.5105,0.2460,0.3687
156,0.3748,0.4246,0.4017
157,0.7737,0.9278,0.8483
158,0.7967,0.1311,0.3942
159,0.4953,0.1864,0.3267
160,0.3314,0.6215,0.4650
161,0.6560,0.3492,0.4898
162,0.2232,0.5520,0.3715
163,0.7109,-0.0325,0.2443
164,0.1314,0.3636,0.2403
165,0.1282,0.4526,0.2740
166,0.3946,0.4043,0.4018
167,0.5983,0.8544,0.7183
168,0.0314,0.3542,0.1754
169,0.4681,0.6445,0.5533
170,0.5871,0.3815,0.4796
171,0.8116,0.5792,0.6890
172,0.2826,0.4532,0.3654
173,0.5163,0.5084,0.5143
174,0.3862,0.0672,0.2103
175,0.1043,0.2431,0.1732
176,0.2796,0.6177,0.4321
177,0.6284,0.3330,0.4688
178,0.7596,0.2120,0.4400
179,0.8863,0.7799,0.8323
180,0.5457,0.4520,0.4995
181,0.1458,0.3653,0.2495
182,0.6533,0.6328,0.6444
183,0.6657,0.4776,0.5681
184,0.5393,0.7192,0.6260
185,0.5322,0.2251,0.3650
186,0.4357,0.3353,0.3863
187,0.5832,0.7380,0.6585
188,0.7445,0.6503,0.6974
189,0.7826,0.3814,0.5595
